Problem,Hunter(hkroger),Snehal,Emma(eschare)
1101,9,1,2
1102,3,6,3
1103,2,2,2
1104,9,2,8
1105,1,6,6
1106,3,7,6
1107,9,1,9
1108,8,10,10
1109,8,10,10
1110,7,7,7
1111,2,10,6
1112,6,6,6
1113,6,6,6
1114,3,3,3
1115,1,1,1
1116,2,2,2
1117,5,5,5
1118,6,6,6
1119,6,10,10
1120,6,6,1
1121,4,4,4
1122,6,6,6
1123,4,6,6
1124,10,10,10
1125,6,6,7
1126,2,2,2
1127,6,6,6
1128,9,9,9
1129,9,9,10
1130,6,2,2
1131,9,5,5
1132,10,10,10
1133,2,2,3
1134,8,1,1
1135,6,6,6
1136,10,10,10
1137,10,10,10
1138,9,10,9
1139,10,10,10
1140,3,10,3
1141,10,7,10
1142,3,3,3
1143,6,1,1
1144,10,10,10
1145,1,9,2
1146,9,9,9
1147,2,2,2
1148,6,6,6
1149,7,10,10
1150,6,6,6
1151,6,6,6
1152,6,2,6
1153,1,10,2
1154,6,6,6
1155,10,2,9
1156,10,2,10
1157,10,10,10
1158,3,3,3
1159,6,6,6
1160,1,1,1
1161,10,6,10
1162,10,10,10
1163,9,9,9
1164,7,1,6
1165,2,2,2
1166,6,6,6
1167,6,1,6
1168,3,6,6
1169,6,2,6
1170,1,6,6
1171,6,6,6
1172,1,1,2
1173,6,6,6
1174,6,6,6
1175,6,6,6
1176,1,9,10
1177,3,7,3
1178,8,8,6
1179,5,5,5
1180,6,6,6
1181,10,10,10
1182,2,2,5
1183,6,6,6
1184,5,5,5
1185,6,6,6
1186,7,1,1
1187,7,1,1
1188,7,7,7
1189,9,9,9
1190,3,3,3
1191,3,3,3
1192,3,3,3
1193,3,3,3
1194,10,6,6
1195,2,1,9
1196,10,10,10
1197,6,1,1
1198,3,6,3
1199,9,9,9
1200,6,6,6
1201,7,7,7
1202,6,6,6
1203,1,1,1
1204,4,4,4
1205,4,4,4
1206,4,4,4
1207,4,4,4
1208,4,4,4
1209,4,4,4
1210,4,4,4
1211,4,4,4
1212,6,2,6
1213,2,5,1
1214,6,6,6
1215,3,3,3
1216,3,3,3
1217,6,6,9
1218,2,2,2
1219,9,9,9
1220,2,2,6
1221,6,6,6
1222,9,9,6
1223,2,2,1
1224,10,6,9
1225,9,9,9
1226,7,7,7
1227,2,1,2
1228,6,6,6
1229,6,6,6
1230,2,2,2
1231,3,3,3
1232,6,1,6
1233,6,1,6
1234,8,8,8
1235,6,2,2
1236,11,11,10
1237,9,9,9
1238,1,7,6
1239,1,1,1
1240,6,6,6
1241,3,3,3
1242,4,2,4
1243,6,6,6
1244,9,5,5
1245,5,5,10
1246,6,6,6
1247,9,9,9
1248,5,1,5
1249,4,10,10
1250,2,2,6
1251,7,1,7
1252,2,2,2
1253,6,6,10
1254,10,10,10
1255,4,4,6
1256,1,1,1
1257,6,6,6
1258,3,3,3
1259,6,6,6
1260,6,1,6
1261,6,6,6
1262,9,9,10
1263,7,7,7
1264,5,5,5
1265,3,11,1
1266,9,9,9
1267,6,6,6
1268,2,7,10
1269,9,9,9
1270,2,2,5
1271,9,9,2
1272,10,2,10
1273,2,2,2
1274,4,8,4
1275,6,6,6
1276,5,5,5
1277,8,8,2
1278,8,10,6
1279,7,2,7
1280,3,6,3
1281,6,10,6
1282,2,2,1
1283,6,6,6
1284,1,1,1
1285,9,9,9
1286,6,6,6
1287,7,6,7
1288,6,6,6
1289,4,4,4
1290,7,6,7
1291,9,9,9
1292,3,3,3
1293,2,2,1
1294,6,1,1
1295,1,1,6
1296,1,1,10
1297,6,9,6
1298,6,6,6
1299,9,9,1
1300,4,10,1
1301,5,5,10
1302,5,5,10
1303,6,6,6
1304,6,1,6
1305,10,6,10
1306,4,9,4
1307,7,6,6
1308,6,6,6
1309,9,9,9
1310,6,6,6
1311,10,10,10
1312,6,6,6
1313,3,4,3
1314,7,6,7
1315,10,10,10
1316,6,6,6
1317,4,4,4
1318,6,9,9
1319,10,9,9
1320,6,10,6
1321,9,9,9
1322,3,7,4
1323,4,7,2
